ID,Name,place_id,place_name,review_id,review_link,name,reviewer_id,reviewer_profile,rating,review_text,original_language,review_translated_text,translated_language,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,response_from_owner_translated_text,avatar_link,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,experience_details,review_photos,review_origin
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT205Wk4yb3dRMU5QWlhkaGFrUmhaRGcyUm14Rk5HYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT205Wk4yb3dRMU5QWlhkaGFrUmhaRGcyUm14Rk5HYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOm9ZN2owQ1NPZXdhakRhZDg2RmxFNGc%7C%7C?hl=en-GB,Tay Tay3,115109944339824141831,https://www.google.com/maps/contrib/115109944339824141831/reviews?hl=en-GB,5,Amazing food and service,en,,,a week ago,2026-08-28T10:37:31,"Hi there, so glad to hear that our food and service meet your expectations! See you again soon!  <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a/ACg8ocIQRp2ENONRrpEJvFrJgSWExo5XKnUkOwahPXSM4ifuYFa0pA=s1920,1,0,,[],[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT21walZsQjNaRU50YkhadmJGOWlRMGN4Y25ReFRsRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21walZsQjNaRU50YkhadmJGOWlRMGN4Y25ReFRsRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOmpjVlB3ZENtbHZvbF9iQ0cxcnQxTlE%7C%7C?hl=en-GB,Wei Ming,112824835231523993544,https://www.google.com/maps/contrib/112824835231523993544/reviews?hl=en-GB,5,The deep fried potatoes and matou is only unique here! Must try,en,,,a week ago,2026-08-28T08:14:05,"Hi Wei Ming, so glad to hear that you enjoyed our fried potatoes, and mantou! See you again soon  <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a/ACg8ocIEA4vnUDpQ5ud1NsNim0lvgKDFQc72St-A1C0V4QpY4Y_RKQ=s1920,7,0,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$10-20""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Deep Fried""},{""name"":""Group size"",""value"":""3-4 people""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),ChdDSUhNMG9nS0VJQ0FnSURfemRPSXVRRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURfemRPSXVRRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CIHM0ogKEICAgID_zdOIuQE%7C%7C?hl=en-GB,Sanjai Kandaswamy,118367797134299450288,https://www.google.com/maps/contrib/118367797134299450288/reviews?hl=en-GB,5,The Mala was good and the service is good,en,,,Edited a week ago,2026-08-28T08:13:15,"Hi Sanjai, thanks for enjoying our food! See you again soon ",a year ago,2025-09-04T10:48:25,,https://lh3.googleusercontent.com/a/ACg8ocJpmr465vRSIalcG73OncWNTZSwwIjx7_GMKpjkxTtS9n1uZA=s1920,4,0,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),ChdDSUhNMG9nS0VJQ0FnSURfemNPNjdnRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURfemNPNjdnRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CIHM0ogKEICAgID_zcO67gE%7C%7C?hl=en-GB,MATHIALAGAN MELVIN,100352159565971405440,https://www.google.com/maps/contrib/100352159565971405440/reviews?hl=en-GB,5,"The atmosphere was amazing, and the mala was delicious",en,,,Edited a week ago,2026-08-28T08:12:56,"Hi Melvin, thanks for enjoying our mala! See you again soon ",a year ago,2025-09-04T10:48:25,,https://lh3.googleusercontent.com/a/ACg8ocI8JohNO5cJzi3ZYmrLvE3o8_5BsXhatxmgtpLD5un7CNAGcA=s1920,1,0,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$20-30""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Stir Fry""},{""name"":""Group size"",""value"":""2 people""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT21NM1dVaFpTMmxSVDJsSk56UnFWbUZTVmw5bmNIYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21NM1dVaFpTMmxSVDJsSk56UnFWbUZTVmw5bmNIYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOmM3WUhZS2lRT2lJNzRqVmFSVl9ncHc%7C%7C?hl=en-GB,Teik Fei Chan,110689875466156591487,https://www.google.com/maps/contrib/110689875466156591487/reviews?hl=en-GB,5,The mala was good and the atmosphere was good,en,,,a week ago,2026-08-28T08:12:33,"Hi Fei, so glad to hear that you had a pleasant dining experience! See you again soon <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjUFHzki0H6jcTXwou3MqPydYQdPGWL6VGAvQmOGCjP_Ul7qwGIB=s1920,1,0,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2pGSFJ6TjVSbEZITjI5ZlpVZzVlazFrYVhaRlFrRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGSFJ6TjVSbEZITjI5ZlpVZzVlazFrYVhaRlFrRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOjFHRzN5RlFHN29fZUg5ek1kaXZFQkE%7C%7C?hl=en-GB,Jia Ying Wong,111786519182478282762,https://www.google.com/maps/contrib/111786519182478282762/reviews?hl=en-GB,5,Very good service,en,,,a week ago,2026-08-27T11:23:23,"Hi Jia Ying, so glad to hear that our service is good! See you again soon <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a/ACg8ocJL7wcA2FJJKrgL3bU9poZJEz4eaXP40ZvNGWgoZQhl8Id3tg=s1920,6,1,,"[{""name"":""Meal type"",""value"":""Dinner""},{""name"":""Price per person"",""value"":""$30-40""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Scrambled Eggs""},{""name"":""Noise level"",""value"":""Moderate noise""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2pCM09IQkRiRUpLTlhkQmVEVnVkakpqWjBacWVGRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCM09IQkRiRUpLTlhkQmVEVnVkakpqWjBacWVGRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOjB3OHBDbEJKNXdBeDVudjJjZ0ZqeFE%7C%7C?hl=en-GB,ainsley,105562899249462581463,https://www.google.com/maps/contrib/105562899249462581463/reviews?hl=en-GB,5,"great good, great environment, fast!!!! yay i love hot hideout",en,,,a week ago,2026-08-27T11:22:39,"Hi Ainsley, so glad to hear that you had a pleasant dining experience! See you again soon <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjXfuuaLSiTO7z84EXeqwi7Be29ij_UYOJ8aQxr5Il3ALruzw_0=s1920,5,14,1.0,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2pKU2RVbFZTbVJ4YlhKcVRHOVBTRTVOZEc1dFYyYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKU2RVbFZTbVJ4YlhKcVRHOVBTRTVOZEc1dFYyYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOjJSdUlVSmRxbXJqTG9PSE5NdG5tV2c%7C%7C?hl=en-GB,Cheryl Peck,108501556796203360120,https://www.google.com/maps/contrib/108501556796203360120/reviews?hl=en-GB,5,love the food and service,en,,,a week ago,2026-08-27T10:40:35,"Hi Cheryl, so glad to hear that our food and service meet your expectations! See you again soon!  <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjWRlrAObHvRf59EcPIsKoeML2lIo2L9Mo3MgaIcOXAVqy3MyGcl=s1920,2,0,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT25SS2IyVXlSM0U0YzJVeVp6WnZORzVyZDNwSmJHYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SS2IyVXlSM0U0YzJVeVp6WnZORzVyZDNwSmJHYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOnRKb2UyR3E4c2UyZzZvNG5rd3pJbGc%7C%7C?hl=en-GB,marissa .c,117069333514246889939,https://www.google.com/maps/contrib/117069333514246889939/reviews?hl=en-GB,5,"The ambience is fantastic, not too crowded and very clean",en,,,a week ago,2026-08-27T10:40:29,"Hi Marissa, so glad to hear that you had a pleasant dining experience! See you again soon <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjXhmez-efmaePB1SPAMSgwS_X0wtaEDO097hjyMfiNjA_GP8kc=s1920,8,2,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]","[{""id"":""CIABIhB6SYkacol1vcxnpUC6k1Sf"",""url"":""https://lh3.googleusercontent.com/grass-cs/ACvplmOpmDSKY0QgD8Bz2PXZDK2qad2-7H1VdwGe40KzSOy48-7KVdw1cC0g685hh9j-mP6UCUN7kF7vMMwYr9JzIjGm-Zc9NJb2y2T37XTbfVHiY_AiLhLGnsdOU7M8u_y7E19R9EuHxAeQws0=k-no"",""caption"":null,""width"":1920,""height"":1440}]",google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT25KSmQzbzVOMlZXV0RWc1ZHUkJPWFF6VlZCc1VVRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KSmQzbzVOMlZXV0RWc1ZHUkJPWFF6VlZCc1VVRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOnJJd3o5N2VWWDVsVGRBOXQzVVBsUUE%7C%7C?hl=en-GB,kyearn,113756400400315088909,https://www.google.com/maps/contrib/113756400400315088909/reviews?hl=en-GB,5,,,,,a week ago,2026-08-27T10:40:02,"Hi Kyearn, thanks for the 5-star review! See you again soon <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjVOZ7Nhm5GiTo1u5rCVeb6NqRaR5pZwyNo6r7u84pfLNIOjTl3b=s1920,8,2,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$10-20""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Collagen Soup""},{""name"":""Noise level"",""value"":""Loud, but you can still talk""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2s1Nk9GOTFOVGRhTWpoQk5EVm9iVmMxZDJSTlMyYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1Nk9GOTFOVGRhTWpoQk5EVm9iVmMxZDJSTlMyYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOk56OF91NTdaMjhBNDVobVc1d2RNS2c%7C%7C?hl=en-GB,iain c,117419850811988748298,https://www.google.com/maps/contrib/117419850811988748298/reviews?hl=en-GB,5,,,,,a week ago,2026-08-27T10:40:02,"Hi iain, thanks for the 5-star review! See you again soon <br>",6 days ago,2026-08-29T10:48:26,,https://lh3.googleusercontent.com/a-/ALV-UjXWJ-XD27q4KgGiVobEOXS-p9Ar-MmXdWl247vqc1_ib1KuhUlm=s1920,8,1,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
